term,lemma,domains,frequency,confidence,contexts
non-equilibrium,non-equilibrium,,4,0.4,dynamical system theory **non-equilibrium** thermodynamics evolutionary dynamic|co-existing stable solution **non-equilibrium** attractor possible model|universally applicable measure **non-equilibrium** behavior particularly system
arc_pft,arc_pft,,3,0.4,set equation called **arc_pft** surpassing predictive performance|height waist circumference **arc_pft** decreased mean absolute|biobank 24 nhanes **arc_pft** also reduced vulnerability
gpt-4,gpt-4,,3,0.4,chain-of-thought prompting using **gpt-4** ivan makohon mohamad|test dataset using **gpt-4** result show outperformed|large language model **gpt-4** vision allows ai
large-scale,large-scale,,6,0.5,human error particularly **large-scale** study paper present|lack sufficient resolution **large-scale** causal inference developed|model enable predictive **large-scale** adaptive screening strategy
label-free,label-free,,3,0.4,plasmonic metasurface real-time **label-free** analysis live cell|likelihood-only baseline offering **label-free** ood quantification workflow|dld device provide **label-free** method achieving sorting
mechano-chemical,mechano-chemical,,4,0.4,**mechano-chemical** modeling glia initiated|framework model multiphysics **mechano-chemical** interaction underlying tbi|framework used model **mechano-chemical** interaction assumes three
mhc-ii,mhc-ii,,5,0.4,accelerating **mhc-ii** epitope discovery via|histocompatibility complex ii **mhc-ii** protein play essential|computational immunotherapy study **mhc-ii** antigenic epitope pose
high-risk,high-risk,,4,0.4,within msi-high tumour **high-risk** route cdx2hnf4a loss|higher spatial overlap **high-risk** region indicates mgn|analysis revealed clustering **high-risk** contact structured daily
cross-sectional,cross-sectional,,3,0.4,colony delhi community-based **cross-sectional** study seth ak|practice guideline 2019-2023 **cross-sectional** analysis qureshi ross|comprising 159893 participant **cross-sectional** sociodemographic exposure measure
covid-19,covid-19,,15,0.6,zealand elimination response **covid-19** pandemic 2020 anchor|find parameter estimate **covid-19** new zealand put|cumulative number death **covid-19** epidemic china work
many-eyes,many-eyes,,3,0.4,**many-eyes** sentinel selfish cooperative|typically find either **many-eyes** strategy many group|level individual vigilance **many-eyes** strategy preferred cost
seed-chain-extend,seed-chain-extend,,3,0.4,channel average-case analysis **seed-chain-extend** spencer gibson yun|task many employ **seed-chain-extend** heuristic k-mer seed|deletion indels yet **seed-chain-extend** remains effective paper
evolution,evolution,,27,0.4,ecology **evolution** plasmid- colicin-mediated persistence|implication human bipedal **evolution** xv xw l|able enhance catalyze **evolution** evolvability using statistical
time-dependent,time-dependent,,5,0.4,combining transport driven **time-dependent** mutation rate logistic|highlight extension method **time-dependent** relaxing system focus|capture reshapes observed **time-dependent** statistic molecular count
coarse-grained,coarse-grained,,7,0.5,tree search incorporating **coarse-grained** llm-based clustering substantially|entropy production fluctuating **coarse-grained** trajectory udo seifert|infer entropy production **coarse-grained** observation time series
genetic,genetic,,14,0.4,happens complex network **genetic** regulation metabolic reaction|application include social **genetic** data aggregate clustering|landscape provides insight **genetic** regulatory structure influence
model-free,model-free,,3,0.4,measure computed using **model-free** method based nonlinear|several inequality yield **model-free** lower bound entropy|inference recently proposed **model-free** convolutional transformer network
d-ribose-5-phosphate,d-ribose-5-phosphate,,3,0.4,ribose phosphorylation forming **d-ribose-5-phosphate** inside **d-ribose-5-phosphate** molecule|forming **d-ribose-5-phosphate** inside **d-ribose-5-phosphate** molecule cross membrane|evolution structure conversion **d-ribose-5-phosphate** complex functional molecule
predator-prey,predator-prey,,4,0.4,intervention necessity understanding **predator-prey** dynamic preserving ecological|previous result competitive **predator-prey** interaction hypothesize self-organized|abc-smc using python **predator-prey** dynamic hierarchical epidemic
reaction-diffusion,reaction-diffusion,,4,0.4,dynamic structured population **reaction-diffusion** equation like fisher-kolmogorov-petrovsky-piskunov|adaptation time-varying environment **reaction-diffusion** model olivier rivoire|reproduction within stochastic **reaction-diffusion** dynamic framework model
genome-wide,genome-wide,,3,0.4,optimization-based phenotype randomization **genome-wide** association study differential|neel hyunghoon cho **genome-wide** association study gwas|releasing complete set **genome-wide** association statistic privacy
δmathcala_ell,δmathcala_ell,,3,0.4,concept textbfdeviation absement **δmathcala_ell** defined time integral|mathcale_mathrmmetell p_0 c_1 **δmathcala_ell** c_2 int_0tellt-ell_02dt oell-ell_0_linfty3|system deviation absement **δmathcala_ell** textbfunique first-order sufficient
expert-level,expert-level,,3,0.4,first-of-its-kind system emulates **expert-level** eeg ica component|ai agent capable **expert-level** visual decision-making brain|work virtual assistant **expert-level** disease diagnosis patch-level
single-objective,single-objective,,3,0.4,integrated quantitative **single-objective** light-sheet microscope subcellular|stability minimal phototoxicity **single-objective** light-sheet approach based|robust quantitatively calibrated **single-objective** light-sheet platform transcription
level-1,level-1,,3,0.4,phylogenetic tree binary **level-1** normal network paper|length sufficient reconstruct **level-1** phylogenetic network martin|required reconstruct binary **level-1** semi-directed phylogenetic network
data-driven,data-driven,,4,0.4,integrating spatial risk **data-driven** spatial transcriptomic signature|summarises resilience indicator **data-driven** tool detecting resilience|multidimensional fda applying **data-driven** approach field data
population-level,population-level,,3,0.4,three pseudo-biodiversity effect **population-level** effect independence effect|effect arithmetic effect **population-level** effect related temporal|preference allowing single-neuron **population-level** blockade simulation replacing
evolutionary,evolutionary,,23,0.4,de domenico possibility **evolutionary** force together fundamental|non-trivial topology major **evolutionary** transition show biological|theory non-equilibrium thermodynamics **evolutionary** dynamic within unified
s_1,s_1,,3,0.4,yu given sequence **s_1** n letter drawn|history generated s_2 **s_1** modern sequence aligners|rate substitution-only channel **s_1** assumed uniformly random
decision-making,decision-making,kin_and_relatedness,5,0.7999999999999999,modeling explore alternative **decision-making** ensuring sustainable ecosystem|heterogeneity factor relevant **decision-making**|architecture explainable medical **decision-making** built upon model
c_1,c_1,,3,0.4,beginequation mathcale_mathrmmetell p_0 **c_1** δmathcala_ell c_2 int_0tellt-ell_02dt|duration loading p_0 **c_1** c_2 constant determined|meaningful coefficient p_0 **c_1** c_2 mean linear
high-throughput,high-throughput,,5,0.4,volumetric imaging support **high-throughput** operation developed unified|cohort become available **high-throughput** omic study number|affinity maturation lineage **high-throughput** repertoire sequencing data
cost-effective,cost-effective,economics,5,0.7999999999999999,deep learning technique **cost-effective** lensless digital holographic|severity mitigation tends **cost-effective** option severe disease|low elimination tends **cost-effective** r_0 high use
n-sub-epidemic,n-sub-epidemic,,3,0.4,regression slr prophet **n-sub-epidemic** framework top-ranked weighted-ensemble|prediction interval coverage **n-sub-epidemic** unweighted ensemble outperformed|strategy demonstrate utility **n-sub-epidemic** framework real-time outbreak
hd-tdcs,hd-tdcs,,4,0.4,personalized optimization pediatric **hd-tdcs** dose consistency target|direct current stimulation **hd-tdcs** dosing child remains|variation show dense **hd-tdcs** solution admit sparse
single-cell,single-cell,,9,0.5,**single-cell** transcriptome sequencing reveals|**single-cell** spatial transcriptomics reveal|**single-cell** transcriptomic profiling machine
multi-agent,multi-agent,,4,0.4,discovery orchestrated knowledge-driven **multi-agent** team user-guided therapeutic|introduce orchestra human-in-the-loop **multi-agent** platform unifies biology|robotics programmable matter **multi-agent** learning introduce diffeomorph
whole-brain,whole-brain,,4,0.4,neural computation existing **whole-brain** connectome model drosophila|steady-state theory build **whole-brain** visual function profile|visual input feature **whole-brain** connectome topology us
held-out,held-out,,3,0.4,pf-ode likelihood identify **held-out** family ood correlate|765 macro f1 **held-out** test set 21|natural artificial classification **held-out** subject split contrast
dual-model,dual-model,,3,0.4,**dual-model** framework chikv transmission|yang study construct **dual-model** framework integrating ordinary|comparison providing novel **dual-model** framework vector-borne disease
behavioral,behavioral,behavior_and_identity,11,0.7999999999999999,assessment **behavioral** clinical histological outcome|gene induce novel **behavioral** phenotype c elegans|rise positive ecological **behavioral** response challenging notion
meta-analysis,meta-analysis,,3,0.4,super-predators always super-scary **meta-analysis** wild animal behavioural|**meta-analysis** source transmission pathway|systematic review network **meta-analysis** hua liu h
long-term,long-term,,7,0.5,**long-term** viability dermatophytes comparative|fast volumetric acquisition **long-term** stability minimal phototoxicity|short-term 05 25 **long-term** 25 5 time
sars-cov-2,sars-cov-2,,4,0.4,dna biomarkers derived **sars-cov-2** statistically significant difference|global circulation pathway **sars-cov-2** variant site-based mutation|wang genetic evolution **sars-cov-2** caused recurring epidemic
d-ribose,d-ribose,,4,0.4,life homochiral based **d-ribose** derivative phospholipid membrane|membrane high permeability **d-ribose** combined ribose interaction|substantially favoring buildup **d-ribose** l-ribose liposome fusion
domain-specific,domain-specific,,5,0.4,data outperforming open-source **domain-specific** counterpart 20 accuracy|llama2 accuracy especially **domain-specific** strain information included|advance mechanistic interpretability **domain-specific** protein language model
multi-omics,multi-omics,,4,0.4,connected rhizome based **multi-omics** analysis cao ren|lung adenocarcinoma based **multi-omics** datasets functional experiment|ccrcc subtype defined **multi-omics** analysis associated adverse
abc-smc,abc-smc,,5,0.4,easy practical guide **abc-smc** dynamical system textttpymc|sequential monte carlo **abc-smc** offer powerful likelihood-free|practical example-driven introduction **abc-smc** using python predator-prey
model-based,model-based,,3,0.4,report large language **model-based** narrative explanation agentic|evolutionary model contrast **model-based** inference recently proposed|analysis reference recognize **model-based** approximation result highlight
non-linear,non-linear,,5,0.4,ldacoop integrating **non-linear** population dynamic analysis|a0 sequentially added **non-linear** descriptor a1 irrigation-context|hcc every configuration **non-linear** contextual enrichment a1-a2
likelihood-free,likelihood-free,,3,0.4,address challenge propose **likelihood-free** bo method bypass|setting analysis highlight **likelihood-free** method provide accurate|abc-smc offer powerful **likelihood-free** alternative requires ability
information-theoretical,information-theoretical,,3,0.4,extend framework using **information-theoretical** measure elucidate underlying|capture information flow **information-theoretical** analysis reveals maternal-fetal|study explore additional **information-theoretical** conditional approach resolve
p_0,p_0,,3,0.4,form beginequation mathcale_mathrmmetell **p_0** c_1 δmathcala_ell c_2|endequation duration loading **p_0** c_1 c_2 constant|physically meaningful coefficient **p_0** c_1 c_2 mean
fine-tuning,fine-tuning,,3,0.4,laboratory mll dataset **fine-tuning** dinov3 using low-rank|class utilizing parameter-efficient **fine-tuning** 8 trainable parameter|distillation mad parameter-efficient **fine-tuning** peft validate platform
δ_textrmmp,δ_textrmmp,,3,0.4,excess mutual predictability **δ_textrmmp** mutual information δ_textrmmi|dynamic system show **δ_textrmmp** tends vanish target|mean arterial pressure **δ_textrmmp** δ_textrmmi assessing diastolic
non-local,non-local,,3,0.4,mgn effectively captured **non-local** force-transmission pathway unique|plant-pollinator system incorporates **non-local** plant competition local|analysis determine condition **non-local** competition trigger vegetation
genie-cat,genie-cat,,3,0.4,simone raugei present **genie-cat** tool-augmented large-language-model llm|ferredoxins case study **genie-cat** integrates four capability|function proof-of-concept demonstration **genie-cat** autonomously identifies residue-level
r_0,r_0,,6,0.5,constant reproduction number **r_0** optimal response infectious|basic reproduction number **r_0** satisfies **r_0** 1|number **r_0** satisfies **r_0** 1 gas fixed
foraging,foraging,behavior_and_identity,5,0.6,underground nest **foraging** activity invasive conehead|group coordination cooperative **foraging** human mcgarvey k|pollen **foraging** bumble bee queen
patient-specific,patient-specific,,3,0.4,framework bridge gap **patient-specific** transcriptomics de novo|dysfunction analysis exposed **patient-specific** epithelial heterogeneity stratification|brain geometry reconstructed **patient-specific** mri dti data
inf-net,inf-net,,4,0.4,semi-supervised **inf-net** framework ct-based lung|semi-supervised framework utilizing **inf-net** architecture enhance lung|dataset indicate supervised **inf-net** attains score 0825
non-monotonic,non-monotonic,,7,0.5,branch-and-bound model selection **non-monotonic** criterion including aic|branch-and-bound algorithm tailored **non-monotonic** function demonstrate approach|time increasing decreasing **non-monotonic** prove nearly unweighted
mcp-ai,mcp-ai,,6,0.5,**mcp-ai** protocol-driven intelligence framework|clinical application known **mcp-ai** integration allows intelligent|become urgent present **mcp-ai** novel architecture explainable
c_2,c_2,,3,0.4,p_0 c_1 δmathcala_ell **c_2** int_0tellt-ell_02dt oell-ell_0_linfty3 endequation|loading p_0 c_1 **c_2** constant determined local|coefficient p_0 c_1 **c_2** mean linear regression
dcaf-net,dcaf-net,,3,0.4,**dcaf-net** dual-channel attentive fusion|attentive fusion network **dcaf-net** synergistically integrates pre-movement|subject demonstrate effectiveness **dcaf-net** achieved prediction accuracy
δ_textrmmi,δ_textrmmi,,4,0.4,δ_textrmmp mutual information **δ_textrmmi** obtained considering system|group interaction source **δ_textrmmi** exhibit higher propensity|show significant value **δ_textrmmi** investigating additive effect
mamba-based,mamba-based,,3,0.4,oxygen flow using **mamba-based** deep learning approach|objective present evaluate **mamba-based** deep-learning model diagnosis|data anne one **mamba-based** deep learning model
high-dose,high-dose,,3,0.4,comparative efficacy **high-dose** daptomycin monotherapy versus|**high-dose** ascorbic acid combined|bone health single **high-dose** administration trigger bone
state-of-the-art,state-of-the-art,,10,0.5,demonstrate syncraft outperforms **state-of-the-art** baseline generating synthesizable|sage find even **state-of-the-art** gfms like esm2|critically assess current **state-of-the-art** analyzing hype examining
time-varying,time-varying,,7,0.5,recovering interpretable pattern **time-varying** heterozygosity|obtain explicit expression **time-varying** carrying capacity mutation|adaptation **time-varying** environment reaction-diffusion model
cross-modal,cross-modal,,3,0.4,multiscale **cross-modal** mapping molecular pathologic|dccd-ccrcc highest layer **cross-modal** mapping transferred molecular|semantic feature dynamic **cross-modal** coordinator enable effective
semi-supervised,semi-supervised,,5,0.4,**semi-supervised** inf-net framework ct-based|research present ct-driven **semi-supervised** framework utilizing inf-net|labeled slice contrast **semi-supervised** variant achieves score
bubble-like,bubble-like,,4,0.4,capturing variant site **bubble-like** structure underpin key|guide traversal find **bubble-like** structure efficiently implemented|provides unifying perspective **bubble-like** structure pangenomics together
three-dimensional,three-dimensional,,7,0.5,embryonic stem cell **three-dimensional** culture system system|platform demonstrate quantitative **three-dimensional** imaging ms2-labeled transcription|secondary structure sensitive **three-dimensional** topological feature implement
simulation-based,simulation-based,,3,0.4,assessment **simulation-based** inference method stochastic|model upon optimized **simulation-based** strategy formulated study|decision increasingly rely **simulation-based** strategy unexamined model
reproduction,reproduction,sex_and_reproduction,15,0.7999999999999999,honey bee queen **reproduction** colony development huang|analytically derived basic **reproduction** number determined using|peak value error **reproduction** number analysis revealed
disease-free,disease-free,,4,0.4,case report 12-year **disease-free** survival nakazono|boundedness solution established **disease-free** endemic equilibrium analytically|condition stability endemic **disease-free** equilibrium numerical simulation
spef-phixer,spef-phixer,,3,0.4,spatially-extended flow phixer **spef-phixer** spatially extended varphi-mixing|causal inference developed **spef-phixer** spatially extended phi-mixing|regulatory flow conclusion **spef-phixer** extract spatially coherent
