term,lemma,domains,frequency,confidence,contexts
next-generation,next-generation,,5,0.4,**next-generation** short-read sequencing reveals|transmission rate using **next-generation** matrix method derive|target rational design **next-generation** antibacterial agent
epithelial-mesenchymal,epithelial-mesenchymal,,3,0.4,peli3-mediating **epithelial-mesenchymal** transition correlate radiation|fgf17-fgfr4 axis mediating **epithelial-mesenchymal** transition kong q|cell carcinoma inducing **epithelial-mesenchymal** transition inhibiting apoptosis
good-turing,good-turing,,3,0.4,molecular dynamic simulation **good-turing** statistic revisited vasiliki|glykos previously shown **good-turing** statistic applied molecular|describe new variant **good-turing** algorithm whose memory
mhc-ii,mhc-ii,,5,0.4,accelerating **mhc-ii** epitope discovery via|histocompatibility complex ii **mhc-ii** protein play essential|computational immunotherapy study **mhc-ii** antigenic epitope pose
cross-sectional,cross-sectional,,3,0.4,differ hiv status **cross-sectional** analysis yoon h|united kingdom finding **cross-sectional** survey smith l|existing model fundamentally **cross-sectional** capture change time
λ_ea,λ_ea,,3,0.4,estimating extinction threshold **λ_ea** result revealed consistent|result revealed consistent **λ_ea** relationship largely independent|geometry except smallest **λ_ea** relationship obeyed universal
c-index,c-index,,3,0.4,model achieving improved **c-index** 074 pm 002|established prognostic variable **c-index** 080 capturing subtle|compared ptnm staging **c-index** 068-069 044-058 insight
dual-channel,dual-channel,,3,0.4,dcaf-net **dual-channel** attentive fusion network|training paper proposes **dual-channel** attentive fusion network|stroke patient first **dual-channel** adaptive channel attention
time-lapse,time-lapse,,3,0.4,lotus low-cost **time-lapse** automated imaging system|computer vision method **time-lapse** microscopy raffaella fiamma|canopy-movement feature rgb **time-lapse** imaging evaluating methodological
d-ribose,d-ribose,,4,0.4,life homochiral based **d-ribose** derivative phospholipid membrane|membrane high permeability **d-ribose** combined ribose interaction|substantially favoring buildup **d-ribose** l-ribose liposome fusion
age-,age-,,3,0.4,lifespan taking account **age-** sex-specific survivorship interbirth|burden male developed **age-** gender-stratified spatially heterogeneous|volumetric deformation drive **age-** size-related difference fem-augmented
genetics,genetics,,3,0.2,recombination graph population **genetics** important theoretical tool|population model used **genetics** fabio c c|extensively used population **genetics** except certain degenerate
short-term,short-term,,3,0.4,pigment change early **short-term** contaminant exposure may|dual coupling mechanism **short-term** 05 25 long-term|cnn attention-based long **short-term** memory attention-lstm layer
cross-subject,cross-subject,,3,0.4,history propagation dependency **cross-subject** knee contact stress|driver prediction uncertainty **cross-subject** knee contact mechanic|topology-aware meshgraphnet regarding **cross-subject** neuromuscular control pattern
video-based,video-based,,3,0.4,bioprinted construct using **video-based** vibration analysis md|bioprinted construct using **video-based** vibration analysis ear-shaped|overall work demonstrates **video-based** vibrometry powerful approach
dcaf-net,dcaf-net,,3,0.4,**dcaf-net** dual-channel attentive fusion|attentive fusion network **dcaf-net** synergistically integrates pre-movement|subject demonstrate effectiveness **dcaf-net** achieved prediction accuracy
high-throughput,high-throughput,,6,0.5,chip velvet transfer **high-throughput** primary screening antibiotic-producing|web platform facilitates **high-throughput** analysis via precision|insight sensor data **high-throughput** phenotyping platform
in-line,in-line,,3,0.4,via lens-free digital **in-line** holographic microscopy j|using lens-free digital **in-line** holographic microscopy dlhm|conventional optical digital **in-line** holographic microscopy dihm
interval-censored,interval-censored,,4,0.4,semiparametric estimation glms **interval-censored** covariates via augmented|guadalupe gómez melis **interval-censored** covariates frequently encountered|estimation regression model **interval-censored** covariates remains methodologically
high-risk,high-risk,,3,0.4,fidelity peak-stress capture **high-risk** localization compared purely|within msi-high tumour **high-risk** route cdx2hnf4a loss|higher spatial overlap **high-risk** region indicates mgn
information-theoretical,information-theoretical,,3,0.4,extend framework using **information-theoretical** measure elucidate underlying|capture information flow **information-theoretical** analysis reveals maternal-fetal|study explore additional **information-theoretical** conditional approach resolve
fed-combat,fed-combat,,5,0.4,**fed-combat** generalized federated framework|challenge paper present **fed-combat** federated framework batch|harmonization decentralized data **fed-combat** enables preservation nonlinear
self-organization,self-organization,,6,0.5,influence pigment cell **self-organization** using continuum reaction-diffusion-advection|gardner volume **self-organization** minimal model complex|rudolf hanel study **self-organization** minimally nonlinear model
selection,selection,,39,0.4,simulation group **selection** model fog|habitat **selection** three gull specie|community dynamic frequency-dependent **selection** find persistent diversity
foraging,foraging,behavior_and_identity,5,0.6,sex difference **foraging** ecology chick rearing|metagenetic assessment pollen **foraging** appalachian bombus affinis|scale-dependent **foraging** behaviour habitat association
cost-effective,cost-effective,economics,3,0.7999999999999999,area high potential **cost-effective** intervention identify low-cost|scale ecological countermeasure **cost-effective** strategy reducing emergence|deep learning technique **cost-effective** lensless digital holographic
behavior,behavior,behavior_and_identity,31,0.7999999999999999,trim63 promotes malignant **behavior** melanoma cell ubiquitination|progression via modulating **behavior** tumor cell m2|suppresses proliferative migratory **behavior** hela cell modulating
multi-agent,multi-agent,,5,0.4,single reasoning model **multi-agent** workflow across constrained|discovery orchestrated knowledge-driven **multi-agent** team user-guided therapeutic|introduce orchestra human-in-the-loop **multi-agent** platform unifies biology
evolution,evolution,,34,0.4,morphogenesis amniote preceded **evolution** corpus callosum noji|body associated cognitive **evolution** heliconius butterfly hodge|role microorganism flavor **evolution** prepared aquatic food
long-time,long-time,,3,0.4,become exponentially small **long-time** limit using standard|effect genealogy-based inhomogeneity **long-time** behavior process **long-time**|**long-time** behavior process **long-time** asymptotics independent mathematical
light-sheet,light-sheet,,4,0.4,integrated quantitative single-objective **light-sheet** microscope subcellular dynamic|minimal phototoxicity single-objective **light-sheet** approach based oblique|remote refocusing tilt-invariant **light-sheet** scanning hardware-timed synchronization
decision-making,decision-making,kin_and_relatedness,5,0.7999999999999999,nsclc essential clinical **decision-making** drug development tumor|influence spontaneous household **decision-making** dynamic mosquito population|mechanism lambda phage **decision-making** eugenio simao biological
single-cell,single-cell,,10,0.5,model integrating fluctuating **single-cell** growth rate size-dependent|size control quantifier **single-cell** growth rate inferred|preprocessing integration method **single-cell** genomics ali anaissi
single-objective,single-objective,,3,0.4,integrated quantitative **single-objective** light-sheet microscope subcellular|stability minimal phototoxicity **single-objective** light-sheet approach based|robust quantitatively calibrated **single-objective** light-sheet platform transcription
multi-omics,multi-omics,,4,0.4,fine-mapping near-isogenic line **multi-omics** network reconstruction genome|learning data-scarce coral **multi-omics** sam victor vertical|multi-laboratory collaboration distributed **multi-omics** datasets without sharing
ai-driven,ai-driven,,3,0.4,stable condition contrast **ai-driven** clinical system learn|mathematical language evaluating **ai-driven** clinical system continual|emerging synthetic consortium **ai-driven** framework enhances scalability
beta-coalescent,beta-coalescent,,5,0.4,result skewness parameter **beta-coalescent** range 0 2|combining result parameter **beta-coalescent** range 0 2|kingman coalescent incomplete **beta-coalescent** complete **beta-coalescent** argue
three-dimensional,three-dimensional,,7,0.5,**three-dimensional** volumetric reconstruction native|included detailed reconstruction **three-dimensional** plant structure derived|embryonic stem cell **three-dimensional** culture system system
population-level,population-level,,3,0.4,successfully described individual **population-level** marker kinetics revealing|three pseudo-biodiversity effect **population-level** effect independence effect|effect arithmetic effect **population-level** effect related temporal
high-dimensional,high-dimensional,,5,0.4,genotype-phenotype map re-examine **high-dimensional** sequence space shape|f w peeters **high-dimensional** time series phenotypic|enrichment combination using **high-dimensional** penalized log-linear model
high-fidelity,high-fidelity,,5,0.4,label-free approach provides **high-fidelity** morphological characterization nanometric|precision parameter configuration **high-fidelity** data ingestion 12-lead|antibodydesignbfn **high-fidelity** fixed-backbone antibody design
long-term,long-term,,5,0.4,modeling **long-term** occupancy trend indiana|make possible distinguish **long-term** trend seasonal interannual|fast volumetric acquisition **long-term** stability minimal phototoxicity
reproduction,reproduction,sex_and_reproduction,24,0.7999999999999999,outweigh benefit continued **reproduction** kuhle 2007 proposed|could averted ceasing **reproduction** midlife receiving energy|equilibrium derive basic **reproduction** number model conduct
non-invasive,non-invasive,,3,0.4,**non-invasive** method profiling gut|evanescent wave serve **non-invasive** tool probe mechanical|soft nature making **non-invasive** straightforward structural evaluation
gbm-idhwt,gbm-idhwt,,3,0.4,homeyer glioblastoma idh-wildtype **gbm-idhwt** common malignant brain|component integrated diagnosis **gbm-idhwt** artificial intelligence ai|dataset comprised 720 **gbm-idhwt** case three hospital
multi-step,multi-step,,3,0.4,stochastic **multi-step** cell size homeostasis|division implement stochastic **multi-step** adder model cell|generalized framework connecting **multi-step** adder mechanism proliferation
dual-model,dual-model,,3,0.4,**dual-model** framework chikv transmission|yang study construct **dual-model** framework integrating ordinary|comparison providing novel **dual-model** framework vector-borne disease
evidence-based,evidence-based,,3,0.4,**evidence-based** agiho guideline update|polypharmacological property generates **evidence-based** food-therapeutic prediction bridging|stochastic search programmable **evidence-based** engineering discipline
non-dilemmatic,non-dilemmatic,,3,0.4,**non-dilemmatic** social dynamic promote|dynamic representing biased **non-dilemmatic** competition akin opinion|social dilemma layer **non-dilemmatic** constant-selection layer robustly
non-ad,non-ad,,3,0.4,approach distinguish atad **non-ad** cognitive impairment using|184 atad 235 **non-ad** 685 cognitively normal|perform multiple atad **non-ad** classification experiment using
p_0,p_0,,3,0.4,form beginequation mathcale_mathrmmetell **p_0** c_1 δmathcala_ell c_2|endequation duration loading **p_0** c_1 c_2 constant|physically meaningful coefficient **p_0** c_1 c_2 mean
sequence-based,sequence-based,,4,0.4,model generally outperform **sequence-based** method order overcome|jointly supervise training **sequence-based** student network guidance|close performance gap **sequence-based** structure-based model larger
early-stage,early-stage,,3,0.4,microscopy herein present **early-stage** report featuring first|confidence architecture formalizes **early-stage** inference phased interpretation|adverse outcome even **early-stage** disease establish hierarchical
agent-based,agent-based,,7,0.5,high-resolution **agent-based** model improve fundamental|multi-cellular behavior particular **agent-based** cell-based model consider|understood using stochastic **agent-based** model sociodemographics metropolitan
evolutionarily,evolutionarily,,4,0.2,oscillatory **evolutionarily** stable state limit|sagar chakraborty idea **evolutionarily** stable state es|site even rigid **evolutionarily** constrained extreme constraint
information-theoretic,information-theoretic,,3,0.4,hierarchical preemption novel **information-theoretic** control mechanism lambda|via nonlinear prediction **information-theoretic** tool chiara barà|hob clearly identified **information-theoretic** measure prediction measure
sage-fm,sage-fm,,5,0.4,**sage-fm** lightweight interpretable spatial|regulatory relationship introduce **sage-fm** lightweight spatial transcriptomics|spanning 15 organ **sage-fm** learns spatially coherent
δ_textrmmp,δ_textrmmp,,3,0.4,excess mutual predictability **δ_textrmmp** mutual information δ_textrmmi|dynamic system show **δ_textrmmp** tends vanish target|mean arterial pressure **δ_textrmmp** δ_textrmmi assessing diastolic
epigenetic,epigenetic,,4,0.2,cell modulating aberrant **epigenetic** mark writer eraser|**epigenetic** control reprogramming-induced potential|network grns incorporating **epigenetic** modification building hopfield
continuous-time,continuous-time,,3,0.4,environment main result **continuous-time** beta poisson-dirichlet coalescents|rate main result **continuous-time** coalescents either kingman|data distribution enabling **continuous-time** fully differentiable generative
pf-ode,pf-ode,,3,0.4,self-consistent probability-flow ode **pf-ode** produce per-sample log-likelihoods|protein family training **pf-ode** likelihood identify held-out|likelihood show multi-scale **pf-ode** trajectory statistic including
non-small,non-small,,6,0.5,correlate radiation sensitivity **non-small** cell lung cancer|promote malignant progression **non-small** cell lung cancer|overcomes gefitinib resistance **non-small** cell lung cancer
death-birth,death-birth,,3,0.4,birth-death bd moran **death-birth** db fkpp dynamic|mixed birth-death **death-birth** updating structured population|standard update rule **death-birth** db birth-death bd
large-deviation,large-deviation,,3,0.4,explore connection evolution **large-deviation** theory study evolutionary|selection amount realizing **large-deviation** dynamic non-interacting random|studied using toolbox **large-deviation** theory finally show
genetic,genetic,,17,0.4,individual form low-tech **genetic** control gould j|knowledge graph integrating **genetic** target biological pathway|qian guo-wei wei **genetic** mutation frequently disrupt
open-ended,open-ended,,3,0.4,workflow across constrained **open-ended** prompting paradigm resulting|characterizing **open-ended** evolution undecidability mechanism|model sustain genuinely **open-ended** evolution oee continual
non-linear,non-linear,,5,0.4,account either linear **non-linear** bias batch effect|a0 sequentially added **non-linear** descriptor a1 irrigation-context|hcc every configuration **non-linear** contextual enrichment a1-a2
poisson-dirichlet,poisson-dirichlet,,4,0.4,result continuous-time beta **poisson-dirichlet** coalescents combining result|specific family beta- **poisson-dirichlet** coalescents combining result|via quasi-conjugacy two-parameter **poisson-dirichlet** hidden markov model
multi-modal,multi-modal,,3,0.4,mri volume 240times240times155 **multi-modal** scan reduced four|transformer-based **multi-modal** temporal embeddings explainable|u-net architecture innovation **multi-modal** processing ensemble strategy
disease-free,disease-free,,6,0.5,establish local stability **disease-free** equilibrium r_0 1|backward bifurcation bistability **disease-free** endemic state hopf-induced|confirm transition among **disease-free** endemic periodic regime
non-monotonic,non-monotonic,,5,0.4,recurrent mechanism generating **non-monotonic** adaptive response across|branch-and-bound model selection **non-monotonic** criterion including aic|branch-and-bound algorithm tailored **non-monotonic** function demonstrate approach
data-driven,data-driven,,5,0.4,expert-defined morphological rule **data-driven** latent representation effectively|enhance stability deployability **data-driven** enzyme kinetics predictor|showcase domain knowledge **data-driven** approach combined increase
domain-aware,domain-aware,,5,0.4,**domain-aware** prior enable vertical|applied generically investigate **domain-aware** design choice specifically|microbiome data benchmark **domain-aware** vfl framework two
mean-field,mean-field,,3,0.4,using deterministic stochastic **mean-field** approximation characterize condition|behavior occur confirm **mean-field** prediction using individual-based|behaviour occurs fluctuation **mean-field** general stochastic system
patient-specific,patient-specific,,8,0.5,informed image registration **patient-specific** aortic valve strain|disease progression accurate **patient-specific** characterization valve geometry|valve motion complex **patient-specific** feature address challenge
multi-scale,multi-scale,,7,0.5,**multi-scale** graph autoregressive modeling|interpretability analysis confirms **multi-scale** causal serialization effectively|investigate discrepancy applied **multi-scale** computational framework integrates
pr-msmat,pr-msmat,,3,0.4,structural model-assisted test **pr-msmat** causal inference framework|simulation study demonstrate **pr-msmat** properly control type|event rate employ **pr-msmat** compare different mc
triple-negative,triple-negative,,5,0.4,potential therapeutic target **triple-negative** breast cancer cell|shaping malignant phenotype **triple-negative** breast cancer wang|type prmts inhibitor **triple-negative** breast cancer treatment
edge-aware,edge-aware,,3,0.4,**edge-aware** gat-based protein binding|address challenge propose **edge-aware** graph attention network|graph attention network **edge-aware** gat model fine-grained
high-resolution,high-resolution,,5,0.4,**high-resolution** agent-based model improve|ever present new **high-resolution** 1 km map|hushem model trained **high-resolution** sperm morphology image
colony,colony,unit_of_individuality,18,0.7999999999999999,spatio-temporal analysis microbial **colony** biofilm development sakai|random forest bee **colony** optimization boufarh r|automatic **colony** cell counting method
δmathcala_ell,δmathcala_ell,,3,0.4,concept textbfdeviation absement **δmathcala_ell** defined time integral|mathcale_mathrmmetell p_0 c_1 **δmathcala_ell** c_2 int_0tellt-ell_02dt oell-ell_0_linfty3|system deviation absement **δmathcala_ell** textbfunique first-order sufficient
behavioral,behavioral,behavior_and_identity,11,0.7999999999999999,**behavioral** divergence generalist specialist|channel fails reduce **behavioral** biological marker acute|activity influenced external **behavioral** factor reveal subtle
trade-off,trade-off,economics,5,0.7999999999999999,size finally derive **trade-off** population-growth-rate gain division-size|pareto front optimal **trade-off** lie close fungal|muhammad naveed akhtar **trade-off** predictive accuracy data
structure-based,structure-based,,3,0.4,structure limit performance **structure-based** machine learning model|2445 kcalmol obtained **structure-based** model p_r 0481|performance gap sequence-based **structure-based** model larger datasets
large-scale,large-scale,,6,0.5,aware foundation model **large-scale** spatial transcriptomics|computational framework integrates **large-scale** sequence analysis 1000|comprehensive μfe framework **large-scale** biomechanical analysis intact
