term,lemma,domains,frequency,confidence,contexts
decision-making,decision-making,kin_and_relatedness,5,0.7999999999999999,modeling explore alternative **decision-making** ensuring sustainable ecosystem|heterogeneity factor relevant **decision-making**|architecture explainable medical **decision-making** built upon model
cross-modal,cross-modal,,3,0.4,multiscale **cross-modal** mapping molecular pathologic|dccd-ccrcc highest layer **cross-modal** mapping transferred molecular|semantic feature dynamic **cross-modal** coordinator enable effective
evolutionary,evolutionary,,23,0.4,de domenico possibility **evolutionary** force together fundamental|non-trivial topology major **evolutionary** transition show biological|theory non-equilibrium thermodynamics **evolutionary** dynamic within unified
λ_ea,λ_ea,,3,0.4,estimating extinction threshold **λ_ea** result revealed consistent|result revealed consistent **λ_ea** relationship largely independent|geometry except smallest **λ_ea** relationship obeyed universal
light-sheet,light-sheet,,4,0.4,integrated quantitative single-objective **light-sheet** microscope subcellular dynamic|minimal phototoxicity single-objective **light-sheet** approach based oblique|remote refocusing tilt-invariant **light-sheet** scanning hardware-timed synchronization
held-out,held-out,,3,0.4,pf-ode likelihood identify **held-out** family ood correlate|765 macro f1 **held-out** test set 21|natural artificial classification **held-out** subject split contrast
dcaf-net,dcaf-net,,3,0.4,**dcaf-net** dual-channel attentive fusion|attentive fusion network **dcaf-net** synergistically integrates pre-movement|subject demonstrate effectiveness **dcaf-net** achieved prediction accuracy
many-eyes,many-eyes,,3,0.4,**many-eyes** sentinel selfish cooperative|typically find either **many-eyes** strategy many group|level individual vigilance **many-eyes** strategy preferred cost
c_2,c_2,,3,0.4,p_0 c_1 δmathcala_ell **c_2** int_0tellt-ell_02dt oell-ell_0_linfty3 endequation|loading p_0 c_1 **c_2** constant determined local|coefficient p_0 c_1 **c_2** mean linear regression
s_1,s_1,,3,0.4,yu given sequence **s_1** n letter drawn|history generated s_2 **s_1** modern sequence aligners|rate substitution-only channel **s_1** assumed uniformly random
coarse-grained,coarse-grained,,7,0.5,tree search incorporating **coarse-grained** llm-based clustering substantially|entropy production fluctuating **coarse-grained** trajectory udo seifert|infer entropy production **coarse-grained** observation time series
single-cell,single-cell,,8,0.5,**single-cell** profiling reveals lineage-specific|growth saturation influence **single-cell** size statistic variability|proteomics bulk rna-seq **single-cell** reference revealed epithelium-immune
d-ribose,d-ribose,,4,0.4,life homochiral based **d-ribose** derivative phospholipid membrane|membrane high permeability **d-ribose** combined ribose interaction|substantially favoring buildup **d-ribose** l-ribose liposome fusion
self-supervised,self-supervised,,4,0.4,set odor molecule **self-supervised** learning capability vae|**self-supervised** learning molecular graph|veronika thost tengfei **self-supervised** learning ssl play
population-level,population-level,,3,0.4,three pseudo-biodiversity effect **population-level** effect independence effect|effect arithmetic effect **population-level** effect related temporal|preference allowing single-neuron **population-level** blockade simulation replacing
genome-wide,genome-wide,,3,0.4,optimization-based phenotype randomization **genome-wide** association study differential|neel hyunghoon cho **genome-wide** association study gwas|releasing complete set **genome-wide** association statistic privacy
high-risk,high-risk,,4,0.4,within msi-high tumour **high-risk** route cdx2hnf4a loss|higher spatial overlap **high-risk** region indicates mgn|analysis revealed clustering **high-risk** contact structured daily
covid-19,covid-19,,13,0.6,zealand elimination response **covid-19** pandemic 2020 anchor|find parameter estimate **covid-19** new zealand put|cumulative number death **covid-19** epidemic china work
mcp-ai,mcp-ai,,6,0.5,**mcp-ai** protocol-driven intelligence framework|clinical application known **mcp-ai** integration allows intelligent|become urgent present **mcp-ai** novel architecture explainable
mechano-chemical,mechano-chemical,,4,0.4,**mechano-chemical** modeling glia initiated|framework model multiphysics **mechano-chemical** interaction underlying tbi|framework used model **mechano-chemical** interaction assumes three
long-term,long-term,,8,0.5,**long-term** presence emerging pathogen|**long-term** viability dermatophytes comparative|fast volumetric acquisition **long-term** stability minimal phototoxicity
open-source,open-source,,6,0.5,validation using predominantly **open-source** library bone geometry|mesh solved using **open-source** mfem library algorithm|modeling achieved using **open-source** tool providing robust
early-stage,early-stage,,3,0.4,efficient resuscitation **early-stage** viable non-culturable cell|adverse outcome even **early-stage** disease establish hierarchical|proliferative apoptotic balance **early-stage** mutated cell population
short-term,short-term,,3,0.4,dual coupling mechanism **short-term** 05 25 long-term|cnn attention-based long **short-term** memory attention-lstm layer|generate fast nowcasts **short-term** forecast inform public
multi-scale,multi-scale,,6,0.5,scalar likelihood show **multi-scale** pf-ode trajectory statistic|epitope discovery via **multi-scale** prediction antigen presentation|presentation pathway employ **multi-scale** evaluation framework benchmark
eco-evolutionary,eco-evolutionary,,4,0.4,stochastic fluctuation **eco-evolutionary** game dynamic environmental|liu building upon **eco-evolutionary** game dynamic framework|corresponding deterministic model **eco-evolutionary** game variance converges
chain-of-thought,chain-of-thought,,3,0.4,underscoring critical role **chain-of-thought** reasoning capability protein-specific|ontology knowledge graph **chain-of-thought** prompting using gpt-4|one investigate usage **chain-of-thought** cot prompt engineering
optimization-based,optimization-based,,3,0.4,integrating thermal sensing **optimization-based** coordination efficient search|gopher **optimization-based** phenotype randomization genome-wide|prior approach 1 **optimization-based** randomization mechanism directly
trade-off,trade-off,economics,4,0.7999999999999999,nature favored term **trade-off** energetic cost redundancy|infection mitigation optimizing **trade-off** mitigation infection cost|strategy may require **trade-off** made health impact
inf-net,inf-net,,4,0.4,semi-supervised **inf-net** framework ct-based lung|semi-supervised framework utilizing **inf-net** architecture enhance lung|dataset indicate supervised **inf-net** attains score 0825
δ_textrmmp,δ_textrmmp,,3,0.4,excess mutual predictability **δ_textrmmp** mutual information δ_textrmmi|dynamic system show **δ_textrmmp** tends vanish target|mean arterial pressure **δ_textrmmp** δ_textrmmi assessing diastolic
seed-chain-extend,seed-chain-extend,,3,0.4,channel average-case analysis **seed-chain-extend** spencer gibson yun|task many employ **seed-chain-extend** heuristic k-mer seed|deletion indels yet **seed-chain-extend** remains effective paper
high-resolution,high-resolution,,5,0.4,pazner zohar yosibash **high-resolution** voxel-based micro-finite element|introduce asubee first **high-resolution** dataset specifically designed|ld robustly applied **high-resolution** haploid genome human
state-of-the-art,state-of-the-art,,10,0.5,demonstrate syncraft outperforms **state-of-the-art** baseline generating synthesizable|sage find even **state-of-the-art** gfms like esm2|critically assess current **state-of-the-art** analyzing hype examining
δmathcala_ell,δmathcala_ell,,3,0.4,concept textbfdeviation absement **δmathcala_ell** defined time integral|mathcale_mathrmmetell p_0 c_1 **δmathcala_ell** c_2 int_0tellt-ell_02dt oell-ell_0_linfty3|system deviation absement **δmathcala_ell** textbfunique first-order sufficient
multi-step,multi-step,,3,0.4,stochastic **multi-step** cell size homeostasis|division implement stochastic **multi-step** adder model cell|generalized framework connecting **multi-step** adder mechanism proliferation
multi-agent,multi-agent,,4,0.4,discovery orchestrated knowledge-driven **multi-agent** team user-guided therapeutic|introduce orchestra human-in-the-loop **multi-agent** platform unifies biology|robotics programmable matter **multi-agent** learning introduce diffeomorph
cost-effective,cost-effective,economics,6,0.9,design provides scalable **cost-effective** solution pcr workflow|deep learning technique **cost-effective** lensless digital holographic|severity mitigation tends **cost-effective** option severe disease
multi-path,multi-path,,4,0.4,function profile via **multi-path** aggregation reveal neuron-level|neuronal response introduce **multi-path** aggregation mpa framework|signal quality inspired **multi-path** propagation model conventional
gpt-4,gpt-4,,3,0.4,chain-of-thought prompting using **gpt-4** ivan makohon mohamad|test dataset using **gpt-4** result show outperformed|large language model **gpt-4** vision allows ai
death-birth,death-birth,,3,0.4,birth-death bd moran **death-birth** db fkpp dynamic|mixed birth-death **death-birth** updating structured population|standard update rule **death-birth** db birth-death bd
birth-death,birth-death,,5,0.4,process capture stochastic **birth-death** dynamic structured population|substantially spatial moran **birth-death** bd moran death-birth|mixed **birth-death** death-birth updating structured
model-free,model-free,,3,0.4,measure computed using **model-free** method based nonlinear|several inequality yield **model-free** lower bound entropy|inference recently proposed **model-free** convolutional transformer network
reaction-diffusion,reaction-diffusion,,4,0.4,dynamic structured population **reaction-diffusion** equation like fisher-kolmogorov-petrovsky-piskunov|adaptation time-varying environment **reaction-diffusion** model olivier rivoire|reproduction within stochastic **reaction-diffusion** dynamic framework model
high-throughput,high-throughput,,7,0.5,protocol **high-throughput** drug screening 384-well|dna data storage **high-throughput** diagnostics distributed laboratory|volumetric imaging support **high-throughput** operation developed unified
n-sub-epidemic,n-sub-epidemic,,3,0.4,regression slr prophet **n-sub-epidemic** framework top-ranked weighted-ensemble|prediction interval coverage **n-sub-epidemic** unweighted ensemble outperformed|strategy demonstrate utility **n-sub-epidemic** framework real-time outbreak
dual-channel,dual-channel,,3,0.4,dcaf-net **dual-channel** attentive fusion network|training paper proposes **dual-channel** attentive fusion network|stroke patient first **dual-channel** adaptive channel attention
evolution,evolution,,28,0.4,ecology **evolution** plasmid- colicin-mediated persistence|phylogenetic tree tumor **evolution** reconstruction unfortunately ppm|synthesize finding development **evolution** running-related synergy across
non-equilibrium,non-equilibrium,,4,0.4,dynamical system theory **non-equilibrium** thermodynamics evolutionary dynamic|co-existing stable solution **non-equilibrium** attractor possible model|universally applicable measure **non-equilibrium** behavior particularly system
bubble-like,bubble-like,,4,0.4,capturing variant site **bubble-like** structure underpin key|guide traversal find **bubble-like** structure efficiently implemented|provides unifying perspective **bubble-like** structure pangenomics together
c_1,c_1,,3,0.4,beginequation mathcale_mathrmmetell p_0 **c_1** δmathcala_ell c_2 int_0tellt-ell_02dt|duration loading p_0 **c_1** c_2 constant determined|meaningful coefficient p_0 **c_1** c_2 mean linear
end-to-end,end-to-end,,4,0.4,calibration timing precision **end-to-end** integration required reproducible|paper present novel **end-to-end** computational framework bridge|learning introduce diffeomorph **end-to-end** differentiable framework learning
spef-phixer,spef-phixer,,3,0.4,spatially-extended flow phixer **spef-phixer** spatially extended varphi-mixing|causal inference developed **spef-phixer** spatially extended phi-mixing|regulatory flow conclusion **spef-phixer** extract spatially coherent
arc_pft,arc_pft,,3,0.4,set equation called **arc_pft** surpassing predictive performance|height waist circumference **arc_pft** decreased mean absolute|biobank 24 nhanes **arc_pft** also reduced vulnerability
three-dimensional,three-dimensional,,7,0.5,embryonic stem cell **three-dimensional** culture system system|platform demonstrate quantitative **three-dimensional** imaging ms2-labeled transcription|secondary structure sensitive **three-dimensional** topological feature implement
sars-cov-2,sars-cov-2,,4,0.4,dna biomarkers derived **sars-cov-2** statistically significant difference|global circulation pathway **sars-cov-2** variant site-based mutation|wang genetic evolution **sars-cov-2** caused recurring epidemic
disease-free,disease-free,,4,0.4,case report 12-year **disease-free** survival nakazono|boundedness solution established **disease-free** endemic equilibrium analytically|condition stability endemic **disease-free** equilibrium numerical simulation
genetic,genetic,,14,0.4,happens complex network **genetic** regulation metabolic reaction|application include social **genetic** data aggregate clustering|landscape provides insight **genetic** regulatory structure influence
micro-ct,micro-ct,,3,0.4,bone model based **micro-ct** scan shani martinez-weissberg|specie khirtharia inflata **micro-ct** scan investigation virtual|estimate bone strength **micro-ct** surrogate advanced imaging
dual-model,dual-model,,3,0.4,**dual-model** framework chikv transmission|yang study construct **dual-model** framework integrating ordinary|comparison providing novel **dual-model** framework vector-borne disease
reproduction,reproduction,sex_and_reproduction,10,0.7000000000000001,analytically derived basic **reproduction** number determined using|peak value error **reproduction** number analysis revealed|ode1390 pn effective **reproduction** number decreasing intervention
data-driven,data-driven,,4,0.4,integrating spatial risk **data-driven** spatial transcriptomic signature|summarises resilience indicator **data-driven** tool detecting resilience|multidimensional fda applying **data-driven** approach field data
co-expression,co-expression,,3,0.4,utilized weighted gene **co-expression** network analysis wgcna|topology alzheimers gene **co-expression** aya samadzelkava alzheimers|disruption topology gene **co-expression** space healthy ad
non-monotonic,non-monotonic,,8,0.5,recurrent mechanism generating **non-monotonic** adaptive response across|branch-and-bound model selection **non-monotonic** criterion including aic|branch-and-bound algorithm tailored **non-monotonic** function demonstrate approach
phylogenetic,phylogenetic,,29,0.4,used example infer **phylogenetic** tree tumor evolution|ambiguity many different **phylogenetic** tree explain observed|duchene ruriko yoshida **phylogenetic** tree provide fundamental
genetics,genetics,,3,0.2,population model used **genetics** fabio c c|extensively used population **genetics** except certain degenerate|foundational molecular population **genetics** problem including interpreting
fixed-topology,fixed-topology,,3,0.4,assess impact various **fixed-topology** strategy phylogenetic phylodynamic|bayesian joint inference **fixed-topology** strategy including conditioning|model largely robust **fixed-topology** assumption parameter depend
δ_textrmmi,δ_textrmmi,,4,0.4,δ_textrmmp mutual information **δ_textrmmi** obtained considering system|group interaction source **δ_textrmmi** exhibit higher propensity|show significant value **δ_textrmmi** investigating additive effect
genie-cat,genie-cat,,3,0.4,simone raugei present **genie-cat** tool-augmented large-language-model llm|ferredoxins case study **genie-cat** integrates four capability|function proof-of-concept demonstration **genie-cat** autonomously identifies residue-level
colony,colony,unit_of_individuality,13,0.7999999999999999,island honey bee **colony** sánchez-aroca muñoz la|based improved ant **colony** optimization algorithm r-tree|cancer cell using **colony** morphology readout harmych
agent-based,agent-based,,5,0.4,developed spatially explicit **agent-based** model empty site|shape using differentiable **agent-based** simulation seong ho|environmental autocorrelation evolutionary **agent-based** model confirms bistability
level-1,level-1,,3,0.4,phylogenetic tree binary **level-1** normal network paper|length sufficient reconstruct **level-1** phylogenetic network martin|required reconstruct binary **level-1** semi-directed phylogenetic network
real-time,real-time,,8,0.5,mid-infrared plasmonic metasurface **real-time** label-free analysis live|surrogate model promise **real-time** assessment suffer critical|intelligence browser-based tool **real-time** spatial analysis artificial
pf-ode,pf-ode,,3,0.4,self-consistent probability-flow ode **pf-ode** produce per-sample log-likelihoods|protein family training **pf-ode** likelihood identify held-out|likelihood show multi-scale **pf-ode** trajectory statistic including
model-based,model-based,,3,0.4,report large language **model-based** narrative explanation agentic|evolutionary model contrast **model-based** inference recently proposed|analysis reference recognize **model-based** approximation result highlight
information-theoretical,information-theoretical,,3,0.4,extend framework using **information-theoretical** measure elucidate underlying|capture information flow **information-theoretical** analysis reveals maternal-fetal|study explore additional **information-theoretical** conditional approach resolve
semi-supervised,semi-supervised,,5,0.4,**semi-supervised** inf-net framework ct-based|research present ct-driven **semi-supervised** framework utilizing inf-net|labeled slice contrast **semi-supervised** variant achieves score
epigenetic,epigenetic,,4,0.2,combined transcriptomic **epigenetic** functional analysis identifies|**epigenetic** control reprogramming-induced potential|network grns incorporating **epigenetic** modification building hopfield
p_0,p_0,,3,0.4,form beginequation mathcale_mathrmmetell **p_0** c_1 δmathcala_ell c_2|endequation duration loading **p_0** c_1 c_2 constant|physically meaningful coefficient **p_0** c_1 c_2 mean
